date,report_ticker,side,contracts_settled,notional_settled
2026-04-15,KXNBAREB,yes,99258,55506.16
2026-04-15,KXNBAREB,no,8870,4802.75
2026-04-15,KXNBAPTS,yes,569956,260809.71
2026-04-15,KXNBAPTS,no,99311,39864.45
2026-04-15,KXNBAPLAYOFFWINS,yes,10,9.9
2026-04-15,KXNBAPLAYOFF,yes,120818,59811.43
2026-04-15,KXNBAPLAYOFF,no,96248,43255.72
2026-04-15,KXNBAPIADVANCE,yes,472,133.77
2026-04-15,KXNBAPIADVANCE,no,423,335.95
2026-04-15,KXNBAMVP,yes,253849,17720.52
2026-04-15,KXNBA2HWINNER,yes,26773,12523.98
2026-04-15,KXNBAMVP,no,357110,297496.45
2026-04-15,KXNBAMIMP,no,8016,5108.67
2026-04-15,KXNBAMENTION,yes,201014,70697.22
2026-04-15,KXNBAMENTION,no,170999,66594.31
2026-04-15,KXNBAMATCHUP,yes,2297,1656.77
2026-04-15,KXNBAMATCHUP,no,3574,2829.6
2026-04-15,KXNBAGAME,yes,39686115,18223344.1
2026-04-15,KXNBAGAME,no,16049030,7970173.98
2026-04-15,KXNBAFINMVP,yes,9945,885.04
2026-04-15,KXNBAFINMVP,no,68,52.83
2026-04-15,KXNBAEFINMVP,yes,10360,569.11
2026-04-15,KXNBAEFINMVP,no,380,331.82
2026-04-15,KXNBAEAST,yes,288434,42459.11
2026-04-15,KXNBAMIMP,yes,89961,13488.81
2026-04-15,KXMJSCHEDULE,no,216,193.07
2026-04-15,KXROLLINGSTONECOVER,yes,16,8.64
2026-04-15,KXRT,yes,39080,19401.15
2026-04-15,KXUCLTOTAL,no,715201,377791.05
2026-04-15,KXUCLTCORNERS,yes,38044,22500.82
2026-04-15,KXUCLTCORNERS,no,4529,1851.64
2026-04-15,KXUCLSPREAD,yes,375662,60648.84
2026-04-15,KXUCLSPREAD,no,271012,205215.01
2026-04-15,KXUCLRO4,yes,220006,75729.77
2026-04-15,KXUCLRO4,no,52226,21729.5
2026-04-15,KXUCLGOAL,yes,33579,11688.47
2026-04-15,KXUCLGOAL,no,2773,1036.72
2026-04-15,KXUCLGAME,yes,12525879,4205802.47
2026-04-15,KXUCLGAME,no,4400006,2763551.16
2026-04-15,KXUCLFIRSTGOAL,yes,12790,1493.35
2026-04-15,KXUCLFIRSTGOAL,no,17,13.95
2026-04-15,KXUCLFINALIST,yes,27697,11691.93
2026-04-15,KXUCLFINALIST,no,11193,7492.06
2026-04-15,KXUCLCORNERS,yes,39500,22986.45
2026-04-15,KXUCLCORNERS,no,2380,1144.14
