date,kalshi_category,pnl_gross,pnl_net,fees_taker,fees_maker,contracts_settled
2026-03-14,Non-parlay sports,-4965569.7,-9064726.17,4099156.47,608706.89,367043380
2026-03-14,Other non-sports,-15.96,-25.82,9.86,0.0,6178
2026-03-14,Parlays,-702322.92,-1123182.91,420859.99,0.0,57365739
2026-03-14,Politics,-2744.04,-3833.1,1089.06,0.0,258763
2026-03-14,Science and Technology,-382.6,-443.92,61.32,4.49,66332
2026-03-15,Climate and Weather,100700.23,86022.0,14678.23,0.0,2700286
2026-03-15,Companies,-45.42,-49.86,4.44,0.08,481
2026-03-15,Crypto,36730.94,-260854.29,297585.23,0.0,30996357
2026-03-15,Economics,-25452.03,-28657.14,3205.11,271.89,1910748
2026-03-15,Elections,-26.77,-707.43,680.66,0.0,70796
2026-03-15,Entertainment,46952.9,-223899.22,270852.12,0.0,43176670
2026-03-15,Financials,-13384.35,-14592.42,1208.07,0.0,103209
2026-03-15,Mentions,-173845.23,-190771.95,16926.72,0.0,2667658
2026-03-15,Non-parlay sports,-995998.5,-4509117.83,3513119.33,460762.66,305952325
2026-03-15,Other non-sports,-30.43,-36.19,5.76,0.0,4949
2026-03-15,Parlays,-2246615.18,-2598878.03,352262.85,0.0,45781361
2026-03-15,Politics,-10974.6,-12217.55,1242.95,0.0,262957
2026-03-15,Science and Technology,-158.13,-197.4,39.27,7.62,12863
2026-03-16,Climate and Weather,-26817.6,-41675.67,14858.07,0.0,3375127
2026-03-16,Companies,-5.15,-10.68,5.53,0.01,765
2026-03-16,Crypto,-159043.82,-611896.45,452852.63,0.0,44537042
2026-03-16,Economics,-13964.61,-15240.97,1276.36,225.34,1382177
2026-03-16,Elections,-1417.77,-3727.26,2309.49,0.0,227360
2026-03-16,Entertainment,-8933.8,-11282.57,2348.77,0.0,920311
2026-03-16,Financials,-36768.96,-47174.73,10405.77,0.0,1104532
2026-03-16,Mentions,14466.04,-5471.38,19937.42,0.0,3099438
2026-03-16,Non-parlay sports,1575962.31,-317177.67,1893139.98,346520.98,171612303
2026-03-16,Other non-sports,-149.6,-166.81,17.21,0.0,17177
2026-03-16,Parlays,1661880.39,1422296.81,239583.58,0.0,35102366
2026-03-16,Politics,-24067.62,-26574.48,2506.86,0.0,414831
2026-03-16,Science and Technology,2010.12,1922.39,87.73,8.53,22190
2026-03-17,Climate and Weather,-23958.65,-39115.7,15157.05,0.0,2786491
2026-03-17,Companies,16.22,7.34,8.88,0.0,4835
2026-03-17,Crypto,-234294.92,-609181.71,374886.79,0.0,37591487
2026-03-17,Economics,-13210.57,-14542.23,1331.66,277.09,1552276
2026-03-17,Elections,-23752.22,-30156.48,6404.26,0.0,868979
2026-03-17,Entertainment,-4192.27,-5753.6,1561.33,0.0,358517
2026-03-17,Financials,-3233.52,-12261.41,9027.89,0.0,1105526
2026-03-17,Mentions,-18065.65,-45707.06,27641.41,0.0,3895187
2026-03-17,Non-parlay sports,17938.63,-2521528.02,2539466.65,413966.06,233461623
2026-03-17,Other non-sports,-91.92,-104.14,12.22,0.0,11453
2026-03-17,Parlays,1638101.78,1337874.03,300227.75,0.0,47710981
2026-03-17,Politics,-25266.68,-34468.95,9202.27,0.0,1128121
2026-03-17,Science and Technology,161.76,98.31,63.45,9.25,21250
2026-03-18,Climate and Weather,-59003.44,-76068.83,17065.39,0.0,3774554
2026-03-18,Companies,-131.19,-153.65,22.46,5.26,4737
2026-03-18,Crypto,-416148.14,-869405.19,453257.05,0.0,43711917
2026-03-18,Economics,-30190.1,-32747.88,2557.78,458.6,2706310
2026-03-18,Elections,-4163.83,-4486.69,322.86,0.0,65672
2026-03-18,Entertainment,6946.22,5219.75,1726.47,0.0,406349
2026-03-18,Financials,-40787.88,-45226.88,4439.0,0.0,945220
2026-03-18,Mentions,-66893.59,-102466.51,35572.92,0.0,5218046
2026-03-18,Non-parlay sports,384404.51,-1989205.83,2373610.34,404028.74,212950476
